year,category,count
2022-23,Total,7025366
2023-24,Visitor,4713442
2023-24,Special Category,1786486
2023-24,Crew and Transit,394332
2023-24,Student,376731
2023-24,Working Holiday Maker,234556
2023-24,Temporary Resident (Other Employment),319366
2023-24,Temporary Resident (Skilled Employment),101533
2023-24,Other Temporary,6291
2023-24,Total,7932737
2024-25,Visitor,4915854
2024-25,Special Category,1873536
2024-25,Crew and Transit,405266
2024-25,Student,371564
2024-25,Working Holiday Maker,321116
2024-25,Temporary Resident (Other Employment),255420
2024-25,Temporary Resident (Skilled Employment),130571
2024-25,Other Temporary,5961
2024-25,Total,8279288
